Words
versatile 
creative
flexible
awesome
inclusive
creation and learning.
do everything but not everything
many-Possibilities 
category-defining
inspirational
easy
friendly
enabling 
liberating
funtastic
limitless
hopeful
visual
accessible
clever
amazing
artistic
insightful
epic
fun
chill 
exciting
explorative
future
generative
accessible 
inspiring
accessible 
exciting
attentive
playful
Generative
artsy
playful
open
powerful
indispensable
limitless
educational
robust
awesome
subtle
magic
enlightening
freeing
oppotunities
wxploratory
exciting 
expressive
friendly
versatile 
creative
flexible
awesome
inspiring
