Words
versatile 
creative
flexible
awesome
inclusive
creation and learning
many-Possibilities 
category-defining
do everything but not everything
inspirational
easy
friendly
enabling 
liberating
funtastic
limitless
hopeful
visual
accessible
clever
amazing
artistic
insightful
epic
fun
chill 
explorative
future
generative
accessible 
inspiring
accessible 
exciting
attentive
playful
artsy
open
powerful
indispensable
limitless
educational
robust
awesome
subtle
magic
enlightening
freeing
oppotunities
exploratory
expressive
friendly
versatile
flexible
awesome
inspiring
versatile
flexible
awesome
inspiring
